code,title,points_r1_2021,points_r1_2020,points_r1_2019,Change 21 vs 20,21vs20,21vs19,20vs19,rating21vs20,rating20vs19,rating21vs19
DT203,,,,341.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT204,,,,501.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT205,,,,315.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT206,,,,473.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT211,,,,381.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT220,,,,300.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT221,,,,348.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT222,,,,321.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT223,,,,553.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT224,,,,487.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT225,,,,440.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT227,,,,312.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT228,,,,451.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT229,,,,491.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT235,,,,357.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT282,,,,377.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT299,,,,420.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT302,,,,325.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT304,,,,341.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT321,,,,462.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT341,,,,400.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT343,,,,301.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT354,,,,322.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT358,,,,300.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT365,,,,440.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT366,,,,432.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT398,,,,375.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT399,,,,437.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT401,,,,300.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT405,,,,308.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT407,,,,271.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT412,,,,284.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT413,,,,356.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT416,,,,275.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT420,,,,392.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT421,,,,321.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT422,,,,397.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT491,,,,343.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT501,,,,383.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT504,,,,443.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT506,,,,468.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT508,,,,403.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT517,,,,326.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT518,,,,307.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT529,,,,371.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT532,,,,422.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT533,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT544,,,,552.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT545,,,,667.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT546,,,,668.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT555,,,,353.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT559,,,,700.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT571,,,,394.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT572,,,,385.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT582,,,,347.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT596,,,,252.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DT597,,,,280.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
DL835,,,,237.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GC405,,,,254.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
ID003,,,,,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN101,,,,252.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN103,,,,254.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN104,,,,260.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN107,,,,300.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN108,,,,271.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN109,,,,260.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN110,,,,253.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN111,,,,270.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN112,,,,280.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN113,,,,289.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN114,,,,280.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN115,,,,250.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN117,,,,273.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN118,,,,290.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN119,,,,270.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN120,,,,281.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN121,,,,276.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
BN123,,,,297.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA022,,,,260.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA023,,,,235.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA024,,,,217.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA025,,,,261.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA026,,,,208.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA027,,,,236.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA028,,,,220.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA121,,,,202.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA122,,,,218.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA123,,,,207.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA125,,,,229.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA221,,,,251.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA222,,,,243.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA223,,,,236.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA224,,,,218.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA225,,,,235.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA226,,,,243.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA321,,,,261.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA322,,,,200.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA323,,,,243.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA326,,,,300.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA327,,,,341.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA328,,,,218.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TA329,,,,218.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
NC025,,,,297.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
GA385,,,,219.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
LY218,,,,298.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
CI101,,,,276.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
LC411,,,,226.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
SG149,,,,262.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
SG441,,,,297.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
SG446,,,,289.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TL803,,,,264.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
TL812,,,,369.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
WD148,,,,269.0,,,,,Course for 1 year only,Course for 1 year only,Course for 1 year only
